,,10x10,,250x250,,500x500,,1000x1000,
,,Time,Comparison,Time,Comparison,Time,Comparison,Time,Comparison
Brute force,Random,1.335,10077,165.349,2642002,297.099,10768666,957.070,41760158
,Spiral,1.756,21102,397.184,24088546,2855.730,181782531,21572.600,1314189872
KMP,Random,3.531,75128,1191.660,49378523,3995.610,197339163,16898.600,790355694
,Spiral,4.869,85751,1259.140,59326341,4671.620,235824568,20006.900,956062671
Z-function,Random,8.312,5325,2296.940,1992185,11028.000,8010460,31174.400,31712405
,Spiral,7.754,31101,2932.540,21578015,12060.800,87002896,43040.500,358359005
Boyer-Moore,Random,10.963,76420,1907.720,45320900,6328.050,180261493,23875.100,722183388
,Spiral,9.636,83496,1787.450,44168841,6320.790,177827824,24942.200,722654534
Rabin Karp,Random,2.735,788,673.267,4317,2237.330,3403,9122.710,5904
,Spiral,2.117,3125,537.832,24822,1953.580,16984,7678.400,15292
