,,K=10,,K=50,,K=100,,K=200,
,,Time,Comparison,Time,Comparison,Time,Comparison,Time,Comparison
Brute force,Random,7.324,153677,24.662,733409,47.865,1269722,87.489,2597130
,Spiral,23.340,1270125,95.412,6086960,197.985,12438193,367.002,23717403
KMP,Random,46.172,2443275,223.696,12274811,440.382,24741800,870.991,49434166
,Spiral,55.645,3000931,268.513,14994194,525.212,29810239,1109.880,58643135
Z-function,Random,84.526,94399,419.925,501803,853.241,1007656,1766.530,2013585
,Spiral,124.129,1126945,570.139,5467853,1161.270,10830663,2199.610,21124291
Boyer-Moore,Random,70.678,2225464,383.125,11195280,672.189,22761358,1329.960,45408301
,Spiral,72.695,2311053,356.015,10959662,725.737,22320665,1484.710,43858456
Rabin Karp,Random,27.231,244,120.794,1483,243.126,4115,490.152,2409
,Spiral,26.222,0,125.492,6506,252.087,5236,469.478,21108
